ts,addr,coin,szi,entryPx,liqPx,mark,dist_to_liq,uPnl,lev,acct_value
2026-07-13T12:01:50Z,0x5323b92268b4e140ac2133c677e991cd9ad1b23c,ZEC,626.84,514.3802,,511.16,,-1937.107791,5,6606784
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,BTC,-0.0493,62828.2,7053042.608348985,62926.0,111.0847,-5.262239,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,ETH,-13.3643,1795.08,27377.9316188887,1780.7,14.3748,181.583237,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,SOL,-55.21,76.3924,6242.0407019584,76.296,80.8135,4.2763,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,DOGE,6570.0,0.073325,,0.072254,,-7.00982,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,SUI,-26845.0,0.73149,13.1099249159,0.73101,16.9340,5.742536,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,SNX,1788.0,0.23913,,0.22966,,-16.916898,3,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,XRP,16695.0,1.088713,,1.0768,,-198.888518,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,BCH,-12.982,240.699,25834.9542279787,237.64,107.7147,40.111282,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,ZRO,-8312.8,0.87913,39.0187068706,0.86062,44.3379,153.365751,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,kBONK,782510.0,0.004035,,0.003924,,-86.472276,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,TAO,90.365,206.777,,206.48,,-19.655487,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,MNT,-11820.9,0.42645,27.2588750591,0.42505,63.1310,16.610479,5,363968
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,EIGEN,-18910.39,0.2413,17.0220456288,0.2482,67.5820,-129.925171,5,363968
